Waste Volume Coordinate,Surface Area Coordinate,Dumpsite Count,Volume Range Label,Area Range Label
1,4,0,100-500 t,30-100 m2
1,4,0,100-500 t,100-300 m2
1,4,0,100-500 t,300-1000 m2
1,4,0,100-500 t,1000-5000 m2
1,4,0,100-500 t,Over 5000 m2
1,4,0,Over 500 t,Less than 30 m2
1,4,0,Over 500 t,30-100 m2
1,4,0,Over 500 t,100-300 m2
1,4,0,Over 500 t,300-1000 m2
1,4,0,Over 500 t,1000-5000 m2
1,4,0,Over 500 t,Over 5000 m2
1,5,0,Up to 1 t,Less than 30 m2
1,5,0,Up to 1 t,30-100 m2
1,5,0,Up to 1 t,100-300 m2
1,5,0,Up to 1 t,300-1000 m2
1,5,18,Up to 1 t,1000-5000 m2
1,5,0,Up to 1 t,Over 5000 m2
1,5,0,1-5 t,Less than 30 m2
1,5,0,1-5 t,30-100 m2
1,5,0,1-5 t,100-300 m2
1,5,0,1-5 t,300-1000 m2
1,5,0,1-5 t,1000-5000 m2
1,5,0,1-5 t,Over 5000 m2
1,5,0,5-20 t,Less than 30 m2
1,5,0,5-20 t,30-100 m2
1,5,0,5-20 t,100-300 m2
1,5,0,5-20 t,300-1000 m2
1,5,0,5-20 t,1000-5000 m2
1,5,0,5-20 t,Over 5000 m2
1,5,0,20-100 t,Less than 30 m2
1,5,0,20-100 t,30-100 m2
1,5,0,20-100 t,100-300 m2
1,5,0,20-100 t,300-1000 m2
1,5,0,20-100 t,1000-5000 m2
1,5,0,20-100 t,Over 5000 m2
1,5,0,100-500 t,Less than 30 m2
1,5,0,100-500 t,30-100 m2
1,5,0,100-500 t,100-300 m2
1,5,0,100-500 t,300-1000 m2
1,5,0,100-500 t,1000-5000 m2
1,5,0,100-500 t,Over 5000 m2
1,5,0,Over 500 t,Less than 30 m2
1,5,0,Over 500 t,30-100 m2
1,5,0,Over 500 t,100-300 m2
1,5,0,Over 500 t,300-1000 m2
1,5,0,Over 500 t,1000-5000 m2
1,5,0,Over 500 t,Over 5000 m2
1,6,0,Up to 1 t,Less than 30 m2
1,6,0,Up to 1 t,30-100 m2
1,6,0,Up to 1 t,100-300 m2
1,6,0,Up to 1 t,300-1000 m2
1,6,0,Up to 1 t,1000-5000 m2
1,6,7,Up to 1 t,Over 5000 m2
1,6,0,1-5 t,Less than 30 m2
1,6,0,1-5 t,30-100 m2
1,6,0,1-5 t,100-300 m2
1,6,0,1-5 t,300-1000 m2
1,6,0,1-5 t,1000-5000 m2
1,6,0,1-5 t,Over 5000 m2
1,6,0,5-20 t,Less than 30 m2
1,6,0,5-20 t,30-100 m2
1,6,0,5-20 t,100-300 m2
1,6,0,5-20 t,300-1000 m2
1,6,0,5-20 t,1000-5000 m2
1,6,0,5-20 t,Over 5000 m2
1,6,0,20-100 t,Less than 30 m2
1,6,0,20-100 t,30-100 m2
1,6,0,20-100 t,100-300 m2
1,6,0,20-100 t,300-1000 m2
1,6,0,20-100 t,1000-5000 m2
1,6,0,20-100 t,Over 5000 m2
1,6,0,100-500 t,Less than 30 m2
1,6,0,100-500 t,30-100 m2
1,6,0,100-500 t,100-300 m2
1,6,0,100-500 t,300-1000 m2
1,6,0,100-500 t,1000-5000 m2
1,6,0,100-500 t,Over 5000 m2
1,6,0,Over 500 t,Less than 30 m2
1,6,0,Over 500 t,30-100 m2
1,6,0,Over 500 t,100-300 m2
1,6,0,Over 500 t,300-1000 m2
1,6,0,Over 500 t,1000-5000 m2
1,6,0,Over 500 t,Over 5000 m2
2,1,0,Up to 1 t,Less than 30 m2
2,1,0,Up to 1 t,30-100 m2
2,1,0,Up to 1 t,100-300 m2
2,1,0,Up to 1 t,300-1000 m2
2,1,0,Up to 1 t,1000-5000 m2
2,1,0,Up to 1 t,Over 5000 m2
2,1,317,1-5 t,Less than 30 m2
2,1,0,1-5 t,30-100 m2
2,1,0,1-5 t,100-300 m2
2,1,0,1-5 t,300-1000 m2
2,1,0,1-5 t,1000-5000 m2
2,1,0,1-5 t,Over 5000 m2
2,1,0,5-20 t,Less than 30 m2
2,1,0,5-20 t,30-100 m2
2,1,0,5-20 t,100-300 m2
2,1,0,5-20 t,300-1000 m2
2,1,0,5-20 t,1000-5000 m2
2,1,0,5-20 t,Over 5000 m2
2,1,0,20-100 t,Less than 30 m2
2,1,0,20-100 t,30-100 m2
2,1,0,20-100 t,100-300 m2
2,1,0,20-100 t,300-1000 m2
2,1,0,20-100 t,1000-5000 m2
2,1,0,20-100 t,Over 5000 m2
2,1,0,100-500 t,Less than 30 m2
2,1,0,100-500 t,30-100 m2
2,1,0,100-500 t,100-300 m2
2,1,0,100-500 t,300-1000 m2
2,1,0,100-500 t,1000-5000 m2
2,1,0,100-500 t,Over 5000 m2
2,1,0,Over 500 t,Less than 30 m2
2,1,0,Over 500 t,30-100 m2
2,1,0,Over 500 t,100-300 m2
2,1,0,Over 500 t,300-1000 m2
2,1,0,Over 500 t,1000-5000 m2
2,1,0,Over 500 t,Over 5000 m2
2,2,0,Up to 1 t,Less than 30 m2
2,2,0,Up to 1 t,30-100 m2
2,2,0,Up to 1 t,100-300 m2
2,2,0,Up to 1 t,300-1000 m2
2,2,0,Up to 1 t,1000-5000 m2
2,2,0,Up to 1 t,Over 5000 m2
2,2,0,1-5 t,Less than 30 m2
2,2,405,1-5 t,30-100 m2
2,2,0,1-5 t,100-300 m2
2,2,0,1-5 t,300-1000 m2
2,2,0,1-5 t,1000-5000 m2
2,2,0,1-5 t,Over 5000 m2
2,2,0,5-20 t,Less than 30 m2
2,2,0,5-20 t,30-100 m2
2,2,0,5-20 t,100-300 m2
2,2,0,5-20 t,300-1000 m2
2,2,0,5-20 t,1000-5000 m2
2,2,0,5-20 t,Over 5000 m2
2,2,0,20-100 t,Less than 30 m2
