Year,Compacting & Levelling,In Cassettes / Cells,Layer by Layer,Uncontrolled Dumping
2017,32.0,8.0,12.0,48.0
2018,47.2972972972973,6.756756756756757,18.91891891891892,27.027027027027028
2019,41.726618705035975,6.474820143884892,20.14388489208633,31.654676258992804
2020,40.714285714285715,6.428571428571428,24.285714285714285,28.57142857142857
2021,37.22627737226277,5.839416058394161,27.73722627737226,29.1970802919708
2022,35.294117647058826,6.61764705882353,25.735294117647058,32.35294117647059
2023,35.87786259541985,7.633587786259542,24.427480916030532,32.06106870229007
2024,32.55813953488372,7.751937984496124,26.356589147286826,33.33333333333333
